Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
adult_5000000;50-anonymity;true;true;2;0.8329805362623158;920132.3333333334;19219.333333333332;898649.6666666666;875709.3333333334;0.0;0.0;0.0;2263.3333333333335;0.0
adult_7500000;50-anonymity;false;true;2;0.7110601843396874;834812.6666666666;29943.0;801677.3333333334;765191.6666666666;1311.3333333333333;0.0;0.0;3192.3333333333335;0.0
adult_7500000;50-anonymity;true;true;2;0.8487848655032741;1293073.6666666667;30352.0;1259256.0;1223167.0;0.0;0.0;0.0;3465.6666666666665;0.0
adult_10000000;50-anonymity;false;true;2;0.7363711985934319;997689.3333333334;41352.333333333336;952129.0;901848.0;1669.3333333333333;0.0;0.0;4208.0;0.0
adult_10000000;50-anonymity;true;true;2;0.8583645127715904;1530010.6666666667;41573.333333333336;1483767.3333333333;1434374.6666666667;0.0;0.0;0.0;4670.0;0.0
adult_12500000;50-anonymity;false;true;2;0.7388685303518717;1127841.0;52851.0;1069669.6666666667;1005111.6666666666;2354.3333333333335;0.0;0.0;5320.333333333333;0.0
adult_12500000;50-anonymity;true;true;2;0.8669801580696556;1828287.3333333333;53185.666666666664;1769249.0;1706234.6666666667;0.0;0.0;0.0;5852.666666666667;0.0
adult_15000000;50-anonymity;false;true;2;0.769487926616582;1261450.6666666667;65747.0;1189328.3333333333;1109484.3333333333;2469.6666666666665;0.0;0.0;6375.333333333333;0.0
adult_15000000;50-anonymity;true;true;2;0.8726721129449594;2112207.3333333335;65286.333333333336;2039619.0;1962307.6666666667;0.0;0.0;0.0;7302.0;0.0
adult_17500000;50-anonymity;false;true;2;0.7734458355245044;1337681.0;76842.33333333333;1253242.6666666667;1159369.6666666667;3151.0;0.0;0.0;7595.666666666667;0.3333333333333333
adult_17500000;50-anonymity;true;true;2;0.8776888850476906;2295726.0;77081.33333333333;2210078.3333333335;2118544.6666666665;0.0;0.0;0.0;8566.333333333334;0.0
adult_20000000;50-anonymity;false;true;2;0.7762404336834298;1453717.0;88723.33333333333;1356338.0;1248383.3333333333;3338.6666666666665;0.0;0.0;8655.666666666666;0.0
adult_20000000;50-anonymity;true;true;2;0.8808422492685851;2788383.6666666665;90778.66666666667;2687541.0;2580825.6666666665;0.0;0.0;0.0;10064.0;0.0
adult_22500000;50-anonymity;false;true;2;0.7780094958916844;1530065.0;100819.33333333333;1419580.6666666667;1298950.3333333333;3571.0;0.0;0.0;9665.0;0.0
adult_22500000;50-anonymity;true;true;2;0.8840999329837733;2999024.3333333335;102410.0;2885206.0;2764657.6666666665;0.0;0.0;0.0;11408.333333333334;0.0
adult_25000000;50-anonymity;false;true;2;0.7426602014278342;1578272.6666666667;113755.66666666667;1453864.0;1316656.6666666667;4059.0;0.0;0.0;10652.666666666666;0.3333333333333333
adult_25000000;50-anonymity;true;true;2;0.8876599748157727;3128525.6666666665;113524.33333333333;3002652.6666666665;2871672.3333333335;0.0;0.0;0.0;12348.666666666666;0.0
adult_35000000;50-anonymity;false;true;2;0.7817983703058619;2091398.6666666667;164647.66666666666;1911546.0;1715329.0;6308.0;0.0;0.0;15205.0;0.0
adult_35000000;50-anonymity;true;true;2;0.8989841651636623;4149305.6666666665;164358.0;3966762.0;3777072.3333333335;0.0;0.0;0.0;18185.666666666668;0.0
adult_45000000;50-anonymity;false;true;2;0.7827523532010906;2366064.3333333335;215994.66666666666;2130648.3333333335;1874760.6666666667;7976.0;0.0;0.0;19421.333333333332;0.0
adult_45000000;50-anonymity;true;true;2;0.9051570633184692;4807143.333333333;217477.33333333334;4566083.0;4316729.333333333;0.0;0.0;0.0;23582.666666666668;0.3333333333333333
adult_55000000;50-anonymity;false;true;2;0.7832488146503124;2900554.0;270244.0;2606457.6666666665;2286484.3333333335;9306.333333333334;0.0;0.0;23852.333333333332;0.0
adult_55000000;50-anonymity;true;true;2;0.9123955056034984;5470115.666666667;269309.0;5171785.666666667;4862633.666666667;0.0;0.0;0.0;29021.0;0.0
adult_65000000;50-anonymity;false;true;2;0.7835348219234696;2918269.0;322867.3333333333;2567677.0;2186883.3333333335;11228.333333333334;0.0;0.0;27724.666666666668;0.0
adult_65000000;50-anonymity;true;true;2;0.9178186650709477;6262600.666666667;323757.6666666667;5905026.333333333;5534266.0;0.0;0.0;0.0;33816.666666666664;0.0
adult_75000000;50-anonymity;false;true;2;0.8446379675117349;3116081.6666666665;378467.0;2705208.0;2259153.0;13464.333333333334;0.0;0.0;32406.666666666668;0.0
adult_75000000;50-anonymity;true;true;2;0.9185295942122033;5923813.666666667;380470.0;5505468.333333333;5073114.666666667;0.0;0.0;0.0;37875.333333333336;0.0
adult_85000000;50-anonymity;false;true;2;0.8479772992760907;3386178.3333333335;434571.6666666667;2914886.6666666665;2405098.3333333335;14933.0;0.0;0.0;36720.0;0.0
adult_85000000;50-anonymity;true;true;2;0.9225932990484956;7231975.333333333;434348.0;6754397.666666667;6259225.0;0.0;0.0;0.0;43229.666666666664;0.0
adult_5000000;50-anonymity;false;true;12;0.6743005723810533;167791.33333333334;19118.666666666668;146615.66666666666;123555.33333333333;303.0;0.0;0.0;2057.0;0.0
adult_5000000;50-anonymity;true;true;12;0.8114122313918944;187645.33333333334;19053.0;166401.0;143861.66666666666;0.0;0.0;0.0;2191.3333333333335;0.0
adult_7500000;50-anonymity;false;true;12;0.7086542834924332;237519.66666666666;29947.666666666668;204434.66666666666;168956.0;403.3333333333333;0.0;0.0;3137.0;0.3333333333333333
adult_7500000;50-anonymity;true;true;12;0.8291031276383949;255704.66666666666;29986.333333333332;222407.33333333334;187092.66666666666;0.0;0.0;0.0;3311.0;0.0
adult_10000000;50-anonymity;false;true;12;0.7114559135511985;290942.3333333333;41098.0;245783.0;197271.66666666666;437.0;0.0;0.0;4061.3333333333335;0.0
adult_10000000;50-anonymity;true;true;12;0.840964188236383;358892.3333333333;41439.0;312902.0;263950.3333333333;0.0;0.0;0.0;4551.333333333333;0.0
adult_12500000;50-anonymity;false;true;12;0.7316665312851498;366085.0;53103.0;307786.3333333333;244657.66666666666;536.6666666666666;0.0;0.0;5195.666666666667;0.0
adult_12500000;50-anonymity;true;true;12;0.8501927353152658;448809.6666666667;53042.666666666664;390082.3333333333;327194.6666666667;0.0;0.0;0.0;5684.666666666667;0.0
adult_15000000;50-anonymity;false;true;12;0.7445027885971905;409105.0;64914.0;337961.0;261320.66666666666;603.6666666666666;0.0;0.0;6230.0;0.0
adult_15000000;50-anonymity;true;true;12;0.8565467770739049;519252.3333333333;64983.0;447438.0;371241.6666666667;0.0;0.0;0.0;6831.333333333333;0.0
adult_17500000;50-anonymity;false;true;12;0.7472168111559885;453712.3333333333;76171.33333333333;370322.3333333333;280651.6666666667;603.6666666666666;0.0;0.0;7218.666666666667;0.0
adult_17500000;50-anonymity;true;true;12;0.8630564963400894;611028.0;77454.0;525483.0;434230.6666666667;0.0;0.0;0.0;8091.0;0.0
adult_20000000;50-anonymity;false;true;12;0.7568547404856768;506837.3333333333;89092.66666666667;409312.0;303474.6666666667;825.3333333333334;0.0;0.0;8432.666666666666;0.0
adult_20000000;50-anonymity;true;true;12;0.8663736810644277;664559.0;89807.33333333333;565478.6666666666;459560.3333333333;0.0;0.0;0.0;9273.0;0.0
adult_22500000;50-anonymity;false;true;12;0.7641570929449379;557251.3333333334;100205.33333333333;447434.0;328743.0;894.0;0.0;0.0;9612.0;0.0
adult_22500000;50-anonymity;true;true;12;0.8710290976063745;767294.0;100995.0;655858.6666666666;538123.0;0.0;0.0;0.0;10440.333333333334;0.0
adult_25000000;50-anonymity;false;true;12;0.7692102275864822;643808.0;115931.0;516943.6666666667;380727.6666666667;943.6666666666666;0.0;0.0;10933.333333333334;0.0
adult_25000000;50-anonymity;true;true;12;0.8750895601215783;847094.0;113758.66666666667;721689.3333333334;588162.6666666666;0.0;0.0;0.0;11646.0;0.0
adult_35000000;50-anonymity;false;true;12;0.7821547425965982;866693.6666666666;165083.0;686544.6666666666;494754.3333333333;1350.3333333333333;0.0;0.0;15065.666666666666;0.3333333333333333
adult_35000000;50-anonymity;true;true;12;0.8853633830724393;1222553.6666666667;164132.66666666666;1041720.0;851203.3333333334;0.0;0.0;0.0;16701.0;0.0
adult_45000000;50-anonymity;false;true;12;0.7874941598640581;1013790.3333333334;215867.66666666666;778339.6666666666;527156.3333333334;1452.0;0.0;0.0;19583.0;0.0
adult_45000000;50-anonymity;true;true;12;0.8930189927928605;1411237.6666666667;216414.66666666666;1173352.0;924535.0;0.0;0.0;0.0;21471.0;0.0
adult_55000000;50-anonymity;false;true;12;0.7855678225687224;1195841.6666666667;269603.6666666667;903333.6666666666;590915.0;2107.6666666666665;0.0;0.0;22904.333333333332;0.0
adult_55000000;50-anonymity;true;true;12;0.8990180128040487;1773081.6666666667;270086.0;1476533.6666666667;1165880.0;0.0;0.0;0.0;26462.0;0.0
adult_65000000;50-anonymity;false;true;12;0.7917588586979282;1369713.3333333333;323003.0;1018726.3333333334;645944.6666666666;2297.6666666666665;0.0;0.0;27984.0;0.0
adult_65000000;50-anonymity;true;true;12;0.904713541320252;1963071.6666666667;322731.0;1608609.6666666667;1239104.6666666667;0.0;0.0;0.0;31731.0;0.0
adult_75000000;50-anonymity;false;true;12;0.8135373941258153;1545387.0;378772.6666666667;1135217.0;699021.6666666666;2849.6666666666665;0.0;0.0;31397.333333333332;0.0
adult_75000000;50-anonymity;true;true;12;0.9088202860890647;2196870.3333333335;378266.3333333333;1782236.3333333333;1349074.3333333333;0.0;0.0;0.0;36367.666666666664;0.0
adult_85000000;50-anonymity;false;true;12;0.8225243181312129;1650186.3333333333;434385.3333333333;1180328.3333333333;682337.3333333334;3024.0;0.0;0.0;35472.666666666664;0.0
adult_85000000;50-anonymity;true;true;12;0.9117226434638784;2510620.0;432812.0;2036761.0;1542048.6666666667;0.0;0.0;0.0;41047.0;0.0
adult_5000000;50-anonymity;false;true;64;0.6350476501587511;89572.33333333333;19181.666666666668;68281.33333333333;45142.333333333336;219.33333333333334;0.0;0.0;2109.3333333333335;0.0
adult_5000000;50-anonymity;true;true;64;0.7512680823790024;89382.33333333333;19037.0;68190.66666666667;45690.666666666664;0.0;0.0;0.0;2154.6666666666665;0.0
adult_7500000;50-anonymity;false;true;64;0.6580637176719925;138851.0;29987.666666666668;105726.66666666667;70107.0;295.6666666666667;0.0;0.0;3136.6666666666665;0.0
adult_7500000;50-anonymity;true;true;64;0.7733618871537651;137043.0;29831.333333333332;103942.66666666667;68902.33333333333;0.0;0.0;0.0;3269.0;0.0
adult_10000000;50-anonymity;false;true;64;0.6758902955357108;172859.0;41267.0;127505.33333333333;78909.66666666667;315.6666666666667;0.0;0.0;4086.6666666666665;0.0
adult_10000000;50-anonymity;true;true;64;0.7886428448015047;181044.0;41043.0;135615.33333333334;87571.0;0.0;0.0;0.0;4385.666666666667;0.0
adult_12500000;50-anonymity;false;true;64;0.6832499305237872;215821.0;52821.0;157850.33333333334;95389.0;353.6666666666667;0.0;0.0;5149.666666666667;0.0
adult_12500000;50-anonymity;true;true;64;0.7997140803979349;221977.33333333334;52671.0;163776.66666666666;101939.0;0.0;0.0;0.0;5529.666666666667;0.0
adult_15000000;50-anonymity;false;true;64;0.6932830294311932;294735.6666666667;65005.333333333336;223390.33333333334;146746.66666666666;488.0;0.0;0.0;6340.0;0.0
adult_15000000;50-anonymity;true;true;64;0.8086002460707968;273317.6666666667;64968.333333333336;201614.33333333334;125371.66666666667;0.0;0.0;0.0;6735.0;0.0
adult_17500000;50-anonymity;false;true;64;0.6937877863038829;317845.6666666667;76196.33333333333;234198.33333333334;144907.33333333334;573.6666666666666;0.0;0.0;7451.0;0.0
adult_17500000;50-anonymity;true;true;64;0.8160668411866522;319773.3333333333;76680.33333333333;235185.0;145154.33333333334;0.0;0.0;0.0;7907.666666666667;0.3333333333333333
adult_20000000;50-anonymity;false;true;64;0.7050307024206671;354082.0;89346.33333333333;256135.66666666666;151417.33333333334;415.0;0.0;0.0;8600.0;0.0
adult_20000000;50-anonymity;true;true;64;0.8224915405324027;356808.3333333333;88131.0;259666.33333333334;156900.33333333334;0.0;0.0;0.0;9011.0;0.0
adult_22500000;50-anonymity;false;true;64;0.7124870233157335;377063.3333333333;100921.0;266396.3333333333;148021.66666666666;415.3333333333333;0.0;0.0;9746.0;0.0
adult_22500000;50-anonymity;true;true;64;0.8277972573668338;400354.0;102199.0;288124.6666666667;167808.0;0.0;0.0;0.0;10030.333333333334;0.0
adult_25000000;50-anonymity;false;true;64;0.7176626949841691;414843.6666666667;112712.66666666667;291311.3333333333;159712.33333333334;567.0;0.0;0.0;10819.666666666666;0.0
adult_25000000;50-anonymity;true;true;64;0.8320706329418263;439187.6666666667;114157.33333333333;313789.0;180035.66666666666;0.0;0.0;0.0;11241.333333333334;0.0
