Dataset;Config;Local;Sorted;Threads;Granularity;Time;TimePrepare;TimeComplete;TimeAnonymize;TimeGlobalTransform;TimePartitionByClass;TimeSuppress;TimeQuality;TimePostprocess
ihis;5-anonymity;true;true;23;0.935655042;12709.66667;2934;9139.333333;5452.333333;0;0;0;636.3333333;0
ihis;5-anonymity;false;true;24;0.805498614;25212;2928.666667;21719.33333;17833;204.3333333;0;0;564;0
ihis;5-anonymity;true;true;24;0.936404384;12407.33333;2935.666667;8833.333333;5143.666667;0;0;0;638.3333333;0
ihis;5-anonymity;false;true;25;0.805773871;24718;2930;21223.66667;17337.33333;204.3333333;0;0;564.3333333;0
ihis;5-anonymity;true;true;25;0.935651263;12161;2930;8595.333333;4911.666667;0;0;0;635.6666667;0
ihis;5-anonymity;false;true;26;0.805758223;24028.33333;2934.666667;20528.33333;16628.33333;204.3333333;0;0;565.3333333;0
ihis;5-anonymity;true;true;26;0.936840133;12371.66667;2931.666667;8801;5114;0;0;0;639;0
ihis;5-anonymity;false;true;27;0.805498614;23064.33333;2928.666667;19571;15692;204.3333333;0;0;564.6666667;0
ihis;5-anonymity;true;true;27;0.935305732;12060.66667;2935;8476.666667;4774.666667;0;0;0;649;0
ihis;5-anonymity;false;true;28;0.805242561;22975.33333;2929.333333;19479.33333;15594.66667;205;0;0;566.6666667;0
ihis;5-anonymity;true;true;28;0.935298072;12324;2950.333333;8721.666667;4981.333333;0;0;0;651.6666667;0.333333333
ihis;5-anonymity;false;true;29;0.805160055;22515;2929.666667;19020.33333;15131;205.3333333;0;0;565;0
ihis;5-anonymity;true;true;29;0.935731681;11698.66667;2934.666667;8133.666667;4445;0;0;0;630.3333333;0
ihis;5-anonymity;false;true;30;0.805243272;23305.33333;2943;19794.33333;15858.66667;205.6666667;0;0;568;0
ihis;5-anonymity;true;true;30;0.935857879;12369;2941;8781.333333;5051.666667;0;0;0;646.6666667;0
ihis;5-anonymity;false;true;31;0.805278124;22954.66667;2936.333333;19450.66667;15528.33333;205;0;0;567.6666667;0
ihis;5-anonymity;true;true;31;0.935200508;12323.33333;2939;8741;5013;0;0;0;643.3333333;0
ihis;5-anonymity;false;true;32;0.805307286;22377;2943.333333;18866;14928;206;0;0;567.6666667;0
ihis;5-anonymity;true;true;32;0.935422824;12115;2946.333333;8523;4784.666667;0;0;0;645.3333333;0.333333333
ihis;5-anonymity;false;true;33;0.804887644;22300.66667;2934.666667;18800.33333;14900.33333;205;0;0;565.6666667;0
ihis;5-anonymity;true;true;33;0.93491373;11576.33333;2931;8010.666667;4318;0;0;0;634.6666667;0
ihis;5-anonymity;false;true;34;0.805250385;22502;2937.333333;18999;15098.66667;206;0;0;565.6666667;0
ihis;5-anonymity;true;true;34;0.935944281;11907.33333;2949.666667;8322.666667;4612.333333;0;0;0;635;0
ihis;5-anonymity;false;true;35;0.804923918;22606;2938;19100;15163.33333;208;0;0;568;0
ihis;5-anonymity;true;true;35;0.935323241;11947.66667;2935.333333;8368;4647.666667;0;0;0;644.3333333;0
ihis;5-anonymity;false;true;36;0.804441685;22340;2932.666667;18841.33333;14927.33333;206.3333333;0;0;565.6666667;0.333333333
ihis;5-anonymity;true;true;36;0.934943767;11628;2942.666667;8050;4344;0;0;0;635.3333333;0
ihis;5-anonymity;false;true;37;0.805093908;21178.33333;2931;17678.33333;13788;206;0;0;569;0
ihis;5-anonymity;true;true;37;0.935503369;11466.66667;2932.666667;7899.333333;4208.666667;0;0;0;634.6666667;0
ihis;5-anonymity;false;true;38;0.804893334;20130.33333;2932;16632.33333;12738.66667;205.3333333;0;0;566;0
ihis;5-anonymity;true;true;38;0.935751792;11541.66667;2941;7962.333333;4248.666667;0;0;0;638.3333333;0
ihis;5-anonymity;false;true;39;0.804532726;20866;2941;17357.33333;13454.66667;206;0;0;567.6666667;0
ihis;5-anonymity;true;true;39;0.935263727;11842.66667;2947.333333;8250;4513.333333;0;0;0;645.3333333;0
ihis;5-anonymity;false;true;40;0.804665731;20456.33333;2936;16954.33333;13053;207.6666667;0;0;566;0
ihis;5-anonymity;true;true;40;0.935737315;11415.66667;2937.333333;7831.333333;4112;0;0;0;647;0
ihis;5-anonymity;false;true;41;0.804592472;21201;2930;17705.33333;13823;206;0;0;565.6666667;0
ihis;5-anonymity;true;true;41;0.935430377;11136.33333;2930.333333;7572;3879;0;0;0;634;0
ihis;5-anonymity;false;true;42;0.804258181;19884.33333;2931.666667;16387.33333;12495;206.6666667;0;0;565.3333333;0
ihis;5-anonymity;true;true;42;0.935153544;11194.66667;2931.333333;7630;3946;0;0;0;633.3333333;0
ihis;5-anonymity;false;true;43;0.804367714;20827.33333;2936.333333;17325.33333;13426;207;0;0;565.6666667;0
ihis;5-anonymity;true;true;43;0.934801291;11345;2934;7772.333333;4081.333333;0;0;0;638.6666667;0
ihis;5-anonymity;false;true;44;0.804377672;20820.33333;2947;17304;13358.33333;210;0;0;569.3333333;0
ihis;5-anonymity;true;true;44;0.935258591;11814.66667;2944;8222.333333;4480;0;0;0;648.3333333;0
ihis;5-anonymity;false;true;45;0.804045515;21474;2945;17960;14021;208.3333333;0;0;569;0
ihis;5-anonymity;true;true;45;0.935332506;11768.33333;2943.666667;8177.333333;4446;0;0;0;647.3333333;0
ihis;5-anonymity;false;true;46;0.804539127;21359;2946.333333;17842.33333;13899.33333;207.6666667;0;0;570.3333333;0
ihis;5-anonymity;true;true;46;0.935454072;11784.66667;2940;8207;4488.666667;0;0;0;637.6666667;0
ihis;5-anonymity;false;true;47;0.80434851;21710;2939.666667;18203;14261.66667;210.6666667;0;0;567.3333333;0
ihis;5-anonymity;true;true;47;0.935103357;11472;2946.666667;7876.666667;4146.333333;0;0;0;648.6666667;0
ihis;5-anonymity;false;true;48;0.803921044;20944.66667;2936;17442.66667;13531.66667;207.3333333;0;0;566;0
ihis;5-anonymity;true;true;48;0.934708221;11222;2935.666667;7652.666667;3949.333333;0;0;0;633.6666667;0
ihis;5-anonymity;false;true;49;0.803861299;20225.33333;2932.333333;16725.66667;12824.33333;207.6666667;0;0;567.3333333;0
ihis;5-anonymity;true;true;49;0.9356349;11217.66667;2934.666667;7648;3947.333333;0;0;0;635;0
ihis;5-anonymity;false;true;50;0.804268849;20437.33333;2934;16936.33333;13040;208.6666667;0;0;566.6666667;0.333333333
ihis;5-anonymity;true;true;50;0.935316457;11244;2948;7647.666667;3914.666667;0;0;0;648.3333333;0
ihis;5-anonymity;false;true;51;0.804021332;19651.66667;2941;16144.33333;12228.66667;208.3333333;0;0;566.3333333;0
ihis;5-anonymity;true;true;51;0.934960209;10909.33333;2934;7341.333333;3646.333333;0;0;0;634;0
ihis;5-anonymity;false;true;52;0.803852764;20220.66667;2932.666667;16722.33333;12830;207.6666667;0;0;565.6666667;0
ihis;5-anonymity;true;true;52;0.934726915;10702.33333;2934;7132;3444.333333;0;0;0;636.3333333;0
ihis;5-anonymity;false;true;53;0.803913221;19941;2940.666667;16432;12500.33333;209.3333333;0;0;568.3333333;0
ihis;5-anonymity;true;true;53;0.935166897;10763.66667;2938.333333;7188.333333;3479.666667;0;0;0;637;0
ihis;5-anonymity;false;true;54;0.803475797;19054.33333;2933;15557.33333;11658;209;0;0;564;0
ihis;5-anonymity;true;true;54;0.935173412;10542.33333;2934;6969.666667;3278.333333;0;0;0;638.6666667;0
ihis;5-anonymity;false;true;55;0.803627295;19397.66667;2933.333333;15898;11995.33333;208.3333333;0;0;566.3333333;0
