Dataset;Config;Local;Sorted;Threads;Granularity;Memory;Measurements
adult;5-anonymity;false;true;50;0.625709241;222808896;22
adult;5-anonymity;true;true;50;0.860576161;84842144;26
adult;5-anonymity;false;true;51;0.625151859;224105032;25
adult;5-anonymity;true;true;51;0.85968365;83934088;25
adult;5-anonymity;false;true;52;0.623370684;238778680;23
adult;5-anonymity;true;true;52;0.85898796;85491808;24
adult;5-anonymity;false;true;53;0.621636667;258233920;27
adult;5-anonymity;true;true;53;0.857630564;88856768;24
adult;5-anonymity;false;true;54;0.62403708;258131608;21
adult;5-anonymity;true;true;54;0.858673353;88874344;26
adult;5-anonymity;false;true;55;0.622456246;239626784;27
adult;5-anonymity;true;true;55;0.856909892;86223080;25
adult;5-anonymity;false;true;56;0.619414944;263203216;27
adult;5-anonymity;true;true;56;0.856869894;88573296;26
adult;5-anonymity;false;true;57;0.618984286;273219736;22
adult;5-anonymity;true;true;57;0.855151365;88982736;24
adult;5-anonymity;false;true;58;0.630513268;273299496;22
adult;5-anonymity;true;true;58;0.855599157;107357136;23
adult;5-anonymity;false;true;59;0.622161645;259392280;25
adult;5-anonymity;true;true;59;0.856084915;105281896;25
adult;5-anonymity;false;true;60;0.617994935;257599848;23
adult;5-anonymity;true;true;60;0.853366447;91890000;26
adult;5-anonymity;false;true;61;0.616874367;291317088;22
adult;5-anonymity;true;true;61;0.853830712;136921680;26
adult;5-anonymity;false;true;62;0.618935648;306873144;26
adult;5-anonymity;true;true;62;0.853834962;92501344;24
adult;5-anonymity;false;true;63;0.617980959;281532200;23
adult;5-anonymity;true;true;63;0.853661809;275882024;23
adult;5-anonymity;false;true;64;0.618860128;296924224;26
adult;5-anonymity;true;true;64;0.853140599;95533944;28
adult;11-anonymity;false;true;1;0.751394968;56063096;21
adult;11-anonymity;true;true;1;0.919444023;55465912;21
adult;11-anonymity;false;true;2;0.745059974;58726640;23
adult;11-anonymity;true;true;2;0.91779559;54990320;21
adult;11-anonymity;false;true;3;0.747578729;59661064;24
adult;11-anonymity;true;true;3;0.917721184;55740144;21
adult;11-anonymity;false;true;4;0.735343109;64413792;25
adult;11-anonymity;true;true;4;0.913586599;56298088;23
adult;11-anonymity;false;true;5;0.729010751;66283968;23
adult;11-anonymity;true;true;5;0.909952818;57003064;24
adult;11-anonymity;false;true;6;0.728378045;67684584;24
adult;11-anonymity;true;true;6;0.908759138;58025248;23
adult;11-anonymity;false;true;7;0.720530443;73499376;23
adult;11-anonymity;true;true;7;0.90617655;58343264;23
adult;11-anonymity;false;true;8;0.714081341;74466232;22
adult;11-anonymity;true;true;8;0.906634819;58943632;22
adult;11-anonymity;false;true;9;0.707104674;75230064;23
adult;11-anonymity;true;true;9;0.903715107;59579288;22
adult;11-anonymity;false;true;10;0.711875091;79955040;24
adult;11-anonymity;true;true;10;0.90500161;60776896;24
adult;11-anonymity;false;true;11;0.699451638;82568192;24
adult;11-anonymity;true;true;11;0.900154932;61030184;22
adult;11-anonymity;false;true;12;0.694115285;85957984;25
adult;11-anonymity;true;true;12;0.898246171;61038696;21
adult;11-anonymity;false;true;13;0.691452222;88611424;23
adult;11-anonymity;true;true;13;0.8983528;62165296;25
adult;11-anonymity;false;true;14;0.691565083;98909040;24
adult;11-anonymity;true;true;14;0.8967328;62983192;22
adult;11-anonymity;false;true;15;0.69332447;97810824;25
adult;11-anonymity;true;true;15;0.896694703;62550504;25
adult;11-anonymity;false;true;16;0.682028258;104287616;22
adult;11-anonymity;true;true;16;0.893356796;63701384;24
adult;11-anonymity;false;true;17;0.678750366;106311680;21
adult;11-anonymity;true;true;17;0.891952123;63600288;22
adult;11-anonymity;false;true;18;0.680797429;108746640;22
adult;11-anonymity;true;true;18;0.889981874;64873872;25
adult;11-anonymity;false;true;19;0.679369033;112524424;22
adult;11-anonymity;true;true;19;0.889340078;67371864;26
adult;11-anonymity;false;true;20;0.675964197;116661232;23
adult;11-anonymity;true;true;20;0.889167075;66039864;25
adult;11-anonymity;false;true;21;0.672761867;119022920;24
adult;11-anonymity;true;true;21;0.887321874;67056824;25
adult;11-anonymity;false;true;22;0.66661173;125237664;25
adult;11-anonymity;true;true;22;0.885947684;67218720;23
adult;11-anonymity;false;true;23;0.672675433;133115216;22
adult;11-anonymity;true;true;23;0.885594587;68930760;22
adult;11-anonymity;false;true;24;0.665603968;134950504;26
adult;11-anonymity;true;true;24;0.886078368;69341264;25
adult;11-anonymity;false;true;25;0.646630559;132507376;23
adult;11-anonymity;true;true;25;0.883910009;69746184;22
adult;11-anonymity;false;true;26;0.660870995;141425384;24
adult;11-anonymity;true;true;26;0.881682372;71181456;27
adult;11-anonymity;false;true;27;0.641925278;142406776;23
adult;11-anonymity;true;true;27;0.880635248;70442000;23
adult;11-anonymity;false;true;28;0.641767852;147471312;21
adult;11-anonymity;true;true;28;0.879860836;71907400;23
adult;11-anonymity;false;true;29;0.662113247;153212248;24
adult;11-anonymity;true;true;29;0.87854136;72518360;29
adult;11-anonymity;false;true;30;0.660975326;158547368;23
adult;11-anonymity;true;true;30;0.87785291;72667400;25
adult;11-anonymity;false;true;31;0.640719222;155908824;24
adult;11-anonymity;true;true;31;0.876932182;73803584;27
adult;11-anonymity;false;true;32;0.638685785;166295248;26
adult;11-anonymity;true;true;32;0.874172758;75913056;23
adult;11-anonymity;false;true;33;0.659105665;175262584;23
adult;11-anonymity;true;true;33;0.874818199;75659232;27
adult;11-anonymity;false;true;34;0.637404799;170828840;27
adult;11-anonymity;true;true;34;0.874289705;73187656;24
adult;11-anonymity;false;true;35;0.653621249;183354112;25
adult;11-anonymity;true;true;35;0.871958286;74876456;23
adult;11-anonymity;false;true;36;0.635106833;173786224;23
adult;11-anonymity;true;true;36;0.871393147;76953056;23
adult;11-anonymity;false;true;37;0.637930694;172897496;26
adult;11-anonymity;true;true;37;0.871690003;76504904;21
adult;11-anonymity;false;true;38;0.65015458;183646968;25
adult;11-anonymity;true;true;38;0.869372743;79575640;26
adult;11-anonymity;false;true;39;0.632625338;173423424;22
adult;11-anonymity;true;true;39;0.870042759;78468504;21
adult;11-anonymity;false;true;40;0.631126676;180889208;26
adult;11-anonymity;true;true;40;0.869000519;79627768;23
adult;11-anonymity;false;true;41;0.646665721;182681312;27
adult;11-anonymity;true;true;41;0.867002482;79676440;26
adult;11-anonymity;false;true;42;0.628765838;184841136;23
adult;11-anonymity;true;true;42;0.867011096;85395832;24
adult;11-anonymity;false;true;43;0.628707883;200119696;22
adult;11-anonymity;true;true;43;0.865832647;82243888;26
adult;11-anonymity;false;true;44;0.629597674;209334160;26
adult;11-anonymity;true;true;44;0.865046025;81241040;24
adult;11-anonymity;false;true;45;0.626987283;197505696;22
adult;11-anonymity;true;true;45;0.86503775;86077080;24
adult;11-anonymity;false;true;46;0.628280198;214046848;22
adult;11-anonymity;true;true;46;0.863975919;84587048;25
adult;11-anonymity;false;true;47;0.626716184;207510976;25
adult;11-anonymity;true;true;47;0.86215678;85562568;26
adult;11-anonymity;false;true;48;0.628106432;212589856;25
adult;11-anonymity;true;true;48;0.862184788;84277640;25
adult;11-anonymity;false;true;49;0.626952022;229867680;22
adult;11-anonymity;true;true;49;0.862271858;101415096;26
adult;11-anonymity;false;true;50;0.625709241;217844744;23
adult;11-anonymity;true;true;50;0.860576161;101514104;27
adult;11-anonymity;false;true;51;0.625151859;225606104;26
adult;11-anonymity;true;true;51;0.85968365;97386064;25
adult;11-anonymity;false;true;52;0.623370684;227542776;25
adult;11-anonymity;true;true;52;0.85898796;87677648;27
adult;11-anonymity;false;true;53;0.621636667;248813544;27
adult;11-anonymity;true;true;53;0.857630564;101460320;27
adult;11-anonymity;false;true;54;0.62403708;227063200;25
adult;11-anonymity;true;true;54;0.858673353;104185576;24
adult;11-anonymity;false;true;55;0.622456246;266210320;26
adult;11-anonymity;true;true;55;0.856909892;106734920;24
adult;11-anonymity;false;true;56;0.619414944;282825672;25
adult;11-anonymity;true;true;56;0.856869894;89931904;26
adult;11-anonymity;false;true;57;0.618984286;276638656;26
adult;11-anonymity;true;true;57;0.855151365;90708680;28
adult;11-anonymity;false;true;58;0.630513268;252323840;24
adult;11-anonymity;true;true;58;0.855599157;106960896;26
adult;11-anonymity;false;true;59;0.622161645;272431872;26
adult;11-anonymity;true;true;59;0.856084915;92894000;24
adult;11-anonymity;false;true;60;0.617994935;265495712;22
adult;11-anonymity;true;true;60;0.853366447;108330936;30
adult;11-anonymity;false;true;61;0.616874367;265397088;25
adult;11-anonymity;true;true;61;0.853830712;94888032;30
adult;11-anonymity;false;true;62;0.618935648;279709632;29
adult;11-anonymity;true;true;62;0.853834962;94623168;25
adult;11-anonymity;false;true;63;0.617980959;316309752;21
adult;11-anonymity;true;true;63;0.853661809;93944896;24
adult;11-anonymity;false;true;64;0.618860128;301984992;22
adult;11-anonymity;true;true;64;0.853140599;97224344;24
adult;distinct-3-diversity;false;true;1;0.830035652;51874312;20
adult;distinct-3-diversity;true;true;1;0.952796079;49867880;17
adult;distinct-3-diversity;false;true;2;0.823942495;50660256;30
adult;distinct-3-diversity;true;true;2;0.945166406;50143224;18
adult;distinct-3-diversity;false;true;3;0.806382782;50626960;28
adult;distinct-3-diversity;true;true;3;0.94945164;50564368;18
adult;distinct-3-diversity;false;true;4;0.800359296;52424696;28
adult;distinct-3-diversity;true;true;4;0.943110787;50883152;19
adult;distinct-3-diversity;false;true;5;0.813474578;51952904;24
adult;distinct-3-diversity;true;true;5;0.943418424;50412464;20
adult;distinct-3-diversity;false;true;6;0.794850186;51835376;28
adult;distinct-3-diversity;true;true;6;0.942202112;51089392;21
adult;distinct-3-diversity;false;true;7;0.800530493;53144880;24
adult;distinct-3-diversity;true;true;7;0.940146271;51485704;17
adult;distinct-3-diversity;false;true;8;0.790135613;52471656;22
adult;distinct-3-diversity;true;true;8;0.940559972;52032312;17
adult;distinct-3-diversity;false;true;9;0.784929827;53660024;23
adult;distinct-3-diversity;true;true;9;0.938719869;51810488;17
adult;distinct-3-diversity;false;true;10;0.785867311;55046520;20
adult;distinct-3-diversity;true;true;10;0.939316357;52419832;14
adult;distinct-3-diversity;false;true;11;0.780420758;54796288;25
adult;distinct-3-diversity;true;true;11;0.936985984;52322248;15
adult;distinct-3-diversity;false;true;12;0.777585895;55526176;26
adult;distinct-3-diversity;true;true;12;0.933901821;52701016;17
adult;distinct-3-diversity;false;true;13;0.775126986;55755296;27
adult;distinct-3-diversity;true;true;13;0.934163168;52572824;14
adult;distinct-3-diversity;false;true;14;0.774306807;56975296;26
adult;distinct-3-diversity;true;true;14;0.934086711;52852536;15
